id;genres;keywords;original_title;runtime;vote_average;vote_count;director
54054;Action Comedy Crime;bounty hunter based on novel romance framed bail jumper;One for the Money;91.0;5.3;388;Julie Anne Robinson
228967;Action Comedy;cia coup d'etat north korea assassination attempt evil dictator;The Interview;112.0;6.1;2304;Seth Rogen
46528;Adventure Fantasy Action Western Thriller;assassin small town forest revenge deception;The Warrior's Way;100.0;6.3;136;Sngmoo Lee
27936;Action Comedy Crime;unemployment contortionist human cannonball;Micmacs à tire-larigot;100.0;6.8;148;Jean-Pierre Jeunet
65;Drama;individual street gang adolescence rap music hip-hop;8 Mile;110.0;6.8;1626;Curtis Hanson
280391;Adventure Comedy Animation;animation evolution humanity;Pourquoi j'ai pas mangé mon père;100.0;5.3;125;Jamel Debbouze
9476;Adventure Drama Romance Action;poetry knight tournament duel torture;A Knight's Tale;132.0;6.6;907;Brian Helgeland
10610;Thriller Fantasy Action Comedy;detective medallion leather jacket wretch fighter;The Medallion;88.0;5.3;281;Gordon Chan
745;Mystery Thriller Drama;child abuse sense of guilt loss of child confidence psychology;The Sixth Sense;107.0;7.7;3147;M. Night Shyamalan
49527;Action Thriller Crime;deception new york city rooftop diamond heist framed for a crime;Man on a Ledge;102.0;6.2;925;Asger Leth
73937;Comedy;helicopter based on novel honeymoon airplane birding;The Big Year;100.0;5.6;248;David Frankel
1885;Drama;flat taskmaster karate egg kids and family;The Karate Kid;126.0;6.9;891;John G. Avildsen
168672;Drama Crime;con artist scam mobster fbi agent;American Hustle;138.0;6.8;2807;David O. Russell
18240;Comedy Romance Drama;fictitious marriage deportation immigration law romantic comedy alaska;The Proposal;108.0;6.7;1804;Anne Fletcher
165;Adventure Comedy Family Science_Fiction;skateboarding flying car car race delorean lightning;Back to the Future Part II;108.0;7.4;3829;Robert Zemeckis
240832;Action Science_Fiction;artificial intelligence telepathy intelligence drug mule telekinesis;Lucy;89.0;6.3;5878;Luc Besson
216015;Drama Romance Thriller;based on novel perversion spanking billionaire bdsm;Fifty Shades of Grey;125.0;5.2;3254;Sam Taylor-Johnson
12279;Action Adventure Comedy Family Science_Fiction;video game intelligence liberation child hero mission;Spy Kids 3-D: Game Over;84.0;4.7;511;Robert Rodriguez
1645;Crime Drama Thriller;ku klux klan rape mississippi jurors blackmail;A Time to Kill;149.0;7.0;509;Joel Schumacher
11007;Comedy;big family new job aspiring actor smart kid;Cheaper by the Dozen;98.0;6.0;699;Shawn Levy
193756;Action Drama Thriller War;war survival navy seal military dangerous mission;Lone Survivor;121.0;7.4;1526;Peter Berg
11287;Comedy;baseball world war ii sport baseball player female athlete;A League of Their Own;128.0;6.7;354;Penny Marshall
259693;Horror;london england england 1970s spirit single mother;The Conjuring 2;134.0;7.0;1949;James Wan
37799;Drama;hacker hacking creator frat party social network;The Social Network;120.0;7.1;3391;David Fincher
10184;Comedy Romance Drama;relationship ensemble cast duringcreditsstinger;He's Just Not That Into You;129.0;6.2;959;Ken Kwapis
4257;Comedy;haunted house alien life-form riesen-ipod;Scary Movie 4;83.0;5.3;750;David Zucker
4234;Horror Mystery;mask metal detector film director ex-cop reporter;Scream 3;116.0;5.7;736;Wes Craven
196;Adventure Comedy Family Science_Fiction;railroad robber california delorean indian territory sports car;Back to the Future Part III;118.0;7.1;2900;Robert Zemeckis
257091;Comedy;prison training framed embezzlement;Get Hard;100.0;5.9;944;Etan Cohen
6114;Romance Horror;adultery maze vampire bite remake;Dracula;128.0;7.1;1056;Francis Ford Coppola
24803;Romance Drama;cooking book cookbook blog recipe;Julie & Julia;123.0;6.6;560;Nora Ephron
109410;Drama;baseball biography sport brooklyn dodgers;42;128.0;6.8;787;Brian Helgeland
1213;Thriller Crime Drama;venice italy gay new york lovesickness;The Talented Mr. Ripley;139.0;7.0;767;Anthony Minghella
100042;Comedy;friendship sequel road movie buddy comedy;Dumb and Dumber To;110.0;5.4;1127;Bobby Farrelly
9036;Adventure Drama Family;expedition pilot survival sled dogs seal;Eight Below;120.0;6.7;542;Frank Marshall
257211;Comedy;intern woman director;The Intern;121.0;7.1;1881;Nancy Meyers
323675;Action Comedy;police sequel police officer brother-in-law brother-in-law relationship black men;Ride Along 2;102.0;6.1;555;Tim Story
9361;Action Adventure Drama History Romance;secret love mohawk native american 18th century french and indian war;The Last of the Mohicans;112.0;7.1;732;Michael Mann
1677;Drama Music;black people soul country music loss of brother 1970s;Ray;152.0;7.2;467;Taylor Hackford
187;Action Thriller Crime;dystopia based on comic book held captive based on graphic novel black and white and color;Sin City;124.0;7.2;2691;Robert Rodriguez
7461;Drama Action Thriller Crime;bomb terror spain usa president terrorist;Vantage Point;90.0;6.2;716;Pete Travis
16538;Comedy;poker bondage duringcreditsstinger;I Love You, Man;105.0;6.5;515;John Hamburg
9889;Comedy Romance;overweight beauty hypnosis overweight man overweight woman;Shallow Hal;114.0;5.7;731;Bobby Farrelly
820;Drama Thriller History;assassination cia homophobia new orleans vietnam war;JFK;189.0;7.5;502;Oliver Stone
11565;Comedy Crime;undercover nanny computer virus stress undercover agent;Big Momma's House 2;99.0;5.4;371;John Whitesell
6073;Action Comedy Crime Romance;kidnapping pistol;The Mexican;123.0;5.8;441;Gore Verbinski
16996;Comedy;high school bullying high school sports fake identity adult as a child;17 Again;102.0;6.1;1350;Burr Steers
193610;Comedy Romance;infidelity revenge unfaithful boyfriend woman sitting on a toilet;The Other Woman;109.0;6.2;1437;Nick Cassavetes
19912;Horror Mystery;car race dying and death plan stock-car-race car crash;The Final Destination;82.0;5.4;831;David R. Ellis
296098;Thriller Drama;spy cia cold war soviet union pilot;Bridge of Spies;141.0;7.2;2583;Steven Spielberg
8007;Action Drama Thriller War;helicopter war crimes sniper bosnia and herzegovina fighter pilot;Behind Enemy Lines;106.0;6.0;457;John Moore
32823;Comedy;aftercreditsstinger;Get Him to the Greek;109.0;5.9;612;Nicholas Stoller
4380;Drama Romance Comedy;jealousy wife husband relationship dancing master;Shall We Dance?;107.0;5.9;297;Peter Chelsom
11551;Comedy Adventure Fantasy Science_Fiction Action;defense industry toy shop technical toy soldier prototype;Small Soldiers;110.0;6.2;511;Joe Dante
10336;Action Adventure Fantasy Horror Science_Fiction;anti hero secret agent fistfight based on comic book burn victim;Spawn;96.0;5.0;336;Mark A.Z. Dipp\u00e9
11362;Action Adventure Drama Thriller;loss of lover lover (female) ex-lover torture napoleon bonaparte;The Count of Monte Cristo;131.0;7.3;453;Kevin Reynolds
50348;Crime Drama Thriller;judge arrest jury private investigator;The Lincoln Lawyer;119.0;7.0;902;Brad Furman
48138;Action Mystery Thriller;taxi hotel coma taxi driver prince;Unknown;113.0;6.5;1265;Jaume Collet-Serra
1124;Drama Mystery Thriller;competition secret obsession magic dying and death;The Prestige;130.0;8.0;4391;Christopher Nolan
227159;Comedy;prison kidnapping sequel car chase sex addict;Horrible Bosses 2;108.0;6.1;1536;Sean Anders
68179;Animation Comedy Adventure Family Science_Fiction;spaceship alien rescue escape planet;Escape from Planet Earth;89.0;5.7;332;Callan Brunker
1579;Action Adventure Drama Thriller;loss of family solar eclipse slavery jaguar village;Apocalypto;139.0;7.3;1221;Mel Gibson
708;Action Adventure Thriller;london england smuggling of arms prison england assassination;The Living Daylights;130.0;6.2;440;John Glen
34851;Action Science_Fiction Adventure Thriller;hunter predator yakuza hunting human beings alien life-form;Predators;107.0;6.0;1206;Nimr\u00f3d Antal
9930;Comedy Crime Drama Romance Thriller;court case client lawyer courtroom;Legal Eagles;116.0;5.8;51;Ivan Reitman
1586;Thriller Mystery;alcohol adultery detective mississippi jealousy;Secret Window;96.0;6.4;972;David Koepp
2044;Romance Drama Mystery;chicago writing architect future time;The Lake House;99.0;6.5;670;Alejandro Agresti
9913;Drama Horror Mystery Thriller;nurse secret dream fight kidnapping;The Skeleton Key;104.0;6.4;573;Iain Softley
71864;Fantasy Drama Comedy Family;green dodgeball incredibile timothy;The Odd Life of Timothy Green;105.0;6.5;386;Peter Hedges
10761;Comedy Romance;scotland love of one's life ladykiller one-night stand bridesmaid;Made of Honor;101.0;6.0;394;Paul Weiland
209451;Music Drama;biography based on play;Jersey Boys;134.0;6.8;255;Clint Eastwood
11975;Drama Crime Thriller;jurors proof court case leukemia lawyer;The Rainmaker;135.0;6.7;235;Francis Ford Coppola
4970;Horror Thriller;amnesia mental institution patient trust false accusations;Gothika;98.0;5.8;629;Mathieu Kassovitz
11831;Drama History Mystery;cuba mutiny slavery sentence historical figure;Amistad;155.0;6.8;316;Steven Spielberg
9096;Adventure;medicine ant research amazon cancer;Medicine Man;106.0;5.8;114;John McTiernan
440;Fantasy Action Science_Fiction Thriller Horror;predator national guard hybrid alien morgue;Aliens vs Predator: Requiem;94.0;4.9;740;Colin Strause
11011;Comedy Family;family life raft private plane toothbrush gluttony;Ri¢hie Ri¢h;95.0;5.4;415;Donald Petrie
10641;Drama Romance;new love love of one's life unexpected happiness dying and death success;Autumn in New York;103.0;5.7;135;Joan Chen
11172;Comedy Music Romance;pop star song romantic comedy song writing piano;Music and Lyrics;96.0;6.2;554;Marc Lawrence
39513;Adventure Comedy Science_Fiction;san diego area 51 alien space craft hit with a chair shot in the knee;Paul;104.0;6.5;1789;Greg Mottola
82687;Comedy;inventor road trip guilt mother son relationship woman director;The Guilt Trip;95.0;5.4;284;Anne Fletcher
41446;Horror Mystery;sheriff book knife horror rescue;Scream 4;111.0;6.1;902;Wes Craven
8224;Thriller Crime Mystery;pornography porn actor loss of daughter child pornography private investigator;8MM;123.0;6.1;474;Joel Schumacher
10537;Drama Music;hippie poetry sex rock and roll nudity;The Doors;140.0;6.7;275;Oliver Stone
225886;Comedy;marriage internet relationship family sex tape;Sex Tape;97.0;5.3;1695;Jake Kasdan
10385;Comedy Drama;sister sister relationship cheating amnesia crisis line telephone;Hanging Up;94.0;5.0;40;Diane Keaton
55779;Horror Mystery;premonition death by accident crash end is here duringcreditsstinger;Final Destination 5;92.0;5.9;866;Steven Quale
10154;Comedy Crime Romance;new york marriage proposal fbi mafia boss mafia;Mickey Blue Eyes;102.0;5.3;140;Kelly Makin
10647;Drama Romance;child's point of view candlelight vigil good deed exotic dancer schoolteacher;Pay It Forward;122.0;7.0;432;Mimi Leder
11431;Comedy Drama Romance;baseball fanatic relationship problems sport teacher;Fever Pitch;103.0;5.9;182;Bobby Farrelly
8457;Comedy;prison jealousy homeless person beach parents kids relationship;Drillbit Taylor;102.0;5.5;275;Steven Brill
188161;Comedy Western;gunslinger farmer wild west laxative;A Million Ways to Die in the West;116.0;5.8;1468;Seth MacFarlane
8850;Adventure Fantasy Action Thriller Science_Fiction;new york atomic bomb ladykiller hypnosis superhero;The Shadow;108.0;5.4;138;Russell Mulcahy
64685;Drama;based on novel autism key scavenger hunt death of father;Extremely Loud & Incredibly Close;129.0;6.9;708;Stephen Daldry
38357;Comedy Drama Romance;work ethic tv morning show tv reporter;Morning Glory;102.0;6.1;412;Roger Michell
10060;Drama;loss of mother attempted murder career musical rapper;Get Rich or Die Tryin';117.0;6.3;186;Jim Sheridan
11398;Crime Action Adventure;china chinese woman secret agent conspiracy of murder united nations;The Art of War;117.0;5.6;135;Christian Duguay
1833;Drama Romance;gay sex aids musical hiv;Rent;135.0;6.7;155;Chris Columbus
10391;Drama Horror Thriller Crime;sister sister relationship autism mephisto satanism ersatz;Bless the Child;107.0;4.9;71;Chuck Russell
8970;Comedy;new york travel misfortune;The Out-of-Towners;90.0;5.0;45;Sam Weisman
9306;Fantasy Horror Science_Fiction;monster experiment island mutation genetics;The Island of Dr. Moreau;96.0;4.6;147;John Frankenheimer
11370;Action Adventure Drama;loss of family queen power power takeover kingdom;The Musketeer;104.0;5.2;56;Peter Hyams
12184;Drama;england sister sister relationship queen kingdom henry viii;The Other Boleyn Girl;115.0;6.4;477;Justin Chadwick
1921;Drama Romance;workaholic dogsitter;Sweet November;119.0;6.4;278;Pat O'Connor
1683;Horror;river miracle bible louisiana frog;The Reaping;99.0;5.4;205;Stephen Hopkins
203;Drama Crime;epilepsy protection money secret love money redemption;Mean Streets;110.0;7.2;345;Martin Scorsese
62835;Action Thriller Crime Drama;street gang uncle female assassin witness to murder;Colombiana;108.0;6.5;824;Olivier Megaton
18937;Fantasy Animation Drama Romance Family;;Quest for Camelot;86.0;6.9;190;Frederik Du Chau
13536;Crime Drama Mystery;murder homicide detective;City By The Sea;108.0;5.7;92;Michael Caton-Jones
15556;Drama Romance;blind massage therapist;At First Sight;128.0;5.9;48;Irwin Winkler
10718;Action;ex-girlfriend drug dealer gang motorcyclist;Torque;84.0;4.7;119;Joseph Kahn
11062;Drama Thriller;corruption undercover war on drugs mayor drug dealer;City Hall;111.0;6.0;67;Harold Becker
10802;Drama;dancing female nudity go-go dancer spanner seduction;Showgirls;128.0;4.9;256;Paul Verhoeven
1887;Drama History;shoe voice over rite theatre audience bride and groom;Marie Antoinette;123.0;6.5;642;Sofia Coppola
6071;Action Crime Drama Thriller;hoodlum;Kiss of Death;101.0;5.7;81;Barbet Schroeder
10461;Action Drama Thriller Crime;ritual pornographic video car crash dvd;Get Carter;102.0;4.8;145;Stephen T. Kay
80278;Thriller Drama;thailand tsunami family vacation tidal wave catastrophe;Lo imposible;113.0;7.0;2025;Juan Antonio Bayona
12704;Action Adventure Comedy;wilderness sahara beautiful woman singer escape;Ishtar;107.0;4.2;28;Elaine May
10315;Adventure Animation Comedy Family;fox tree peasant revenge cider;Fantastic Mr. Fox;87.0;7.5;1176;Wes Anderson
16643;Comedy Drama Romance;;Life or Something Like It;103.0;5.7;124;Stephen Herek
2687;Comedy Fantasy Science_Fiction;invisible man;Memoirs of an Invisible Man;99.0;5.7;125;John Carpenter
194;Comedy Romance;paris love triangle ghost train sex-shop shyness;Le fabuleux destin d'Amélie Poulain;122.0;7.8;3310;Jean-Pierre Jeunet
11025;Comedy;twin sister music video geek vacation university;New York Minute;91.0;5.5;185;Dennie Gordon
8849;Comedy;new york cheating flirt lover older woman seduces younger guy;Alfie;103.0;5.6;248;Charles Shyer
78698;Adventure Drama Romance;whale alaska aftercreditsstinger duringcreditsstinger greenpeace;Big Miracle;107.0;6.6;152;Ken Kwapis
30943;Drama Mystery;kidnapping boy reunion;The Deep End of the Ocean;106.0;5.9;54;Ulu Grosbard
9544;Horror Thriller;race against time psychopath homepage cop doctor;FearDotCom;101.0;3.2;105;William Malone
24418;Adventure Fantasy Action Thriller;vampire spider wolfman stew best friend;Cirque du Freak: The Vampire's Assistant;109.0;5.5;348;Paul Weitz
7288;Action Comedy Thriller;;Duplex;89.0;5.9;482;Danny DeVito
14655;Comedy Music;duringcreditsstinger;Soul Men;103.0;6.3;47;Malcolm D. Lee
24575;Action Drama Thriller;;Raise the Titanic;115.0;5.2;21;Jerry Jameson
10366;Action Science_Fiction;super computer computer program destiny timebomb;Universal Soldier: The Return;82.0;4.2;135;Mic Rodgers
19898;Action Horror Mystery Science_Fiction Thriller;dystopia spaceship survival mission;Pandorum;108.0;6.5;774;Christian Alvart
4965;Action Science_Fiction Thriller;android alien;Impostor;102.0;6.1;135;Gary Fleder
15074;Action Adventure Drama Thriller;ski;Extreme Ops;93.0;5.0;28;Christian Duguay
56715;Comedy Fantasy Science_Fiction;time travel remake alternate history dragon remake of french film;Just Visiting;88.0;4.8;171;Jean-Marie Poir\u00e9
1272;Science_Fiction Thriller;saving the world bomb sun space marine sunlight;Sunshine;107.0;7.0;1182;Danny Boyle
72358;Drama Comedy;liar literary agent;A Thousand Words;91.0;6.0;373;Brian Robbins
20542;Adventure Fantasy Animation Comedy Science_Fiction;;Delgo;94.0;5.4;15;Marc F. Adler
266396;Action Drama Crime;assassin hitman;The Gunman;115.0;5.5;392;Pierre Morel
9978;Adventure Action Family;england secret intelligence service child hero wretch teen spy;Stormbreaker;93.0;5.1;213;Geoffrey Sax
8271;Thriller Drama Mystery;kidnapping young people;Disturbia;105.0;6.6;1006;D.J. Caruso
10428;Action Crime Thriller Drama;female nudity hacker nudity computer virus virtual reality;Hackers;107.0;6.2;398;Iain Softley
5353;Action Adventure Thriller Drama;civil war spy hotel journalist journalism;The Hunting Party;101.0;6.6;96;Richard Shepard
11934;Comedy Drama;suicide new york corruption journalist inventor;The Hudsucker Proxy;111.0;7.1;275;Joel Coen
14392;Action Drama History;assassin general dynasty brother blood brother;投名狀;126.0;6.3;83;Peter Chan
19495;Action History War;;Nomad;112.0;4.3;17;Sergei Bodrov Jr.
110415;Action Science_Fiction Drama;father son relationship child labour brothel winter allegory;Snowpiercer;126.0;6.7;2854;Bong Joon-ho
77459;Adventure Animation Comedy Family Fantasy;monster cgi 3d paris france;Un monstre à Paris;90.0;6.5;313;Bibo Bergeron
26486;Action Comedy;;The Last Shot;90.0;5.9;15;Jeff Nathanson
9495;Fantasy Action Thriller;halloween arson detroit;The Crow;102.0;7.3;953;Alex Proyas
256040;Action Adventure War History;kingdom war bollywood medieval india ancient india;Baahubali: The Beginning;159.0;7.5;135;S.S. Rajamouli
24420;Drama Romance Fantasy;chicago sex based on novel nudity diary;The Time Traveler's Wife;107.0;6.7;798;Robert Schwentke
1257;Comedy;mother guitar sister sister relationship profession new love;Because I Said So;102.0;5.8;191;Michael Lehmann
62214;Animation Comedy Family;shyness stop motion black and white retro dog;Frankenweenie;87.0;6.6;932;Tim Burton
16320;Science_Fiction Action Adventure Thriller;martial arts telepathy dystopia spaceship fugitive;Serenity;119.0;7.4;1264;Joss Whedon
8842;Romance Drama;biography sport;Against the Ropes;106.0;4.5;32;Charles S. Dutton
9531;Comedy Action Adventure Fantasy Science_Fiction;saving the world dc comics super computer identity crisis loss of powers;Superman III;125.0;5.3;490;Richard Lester
64807;Comedy;father son relationship sport rivalry elderly elderly man;Grudge Match;113.0;6.0;433;Peter Segal
12289;Adventure Drama Action;flaming arrow chinese history strategy carrier pigeon spear throwing;Chi bi;150.0;7.1;205;John Woo
11529;Comedy Romance;new york marriage proposal alabama career woman fashion designer;Sweet Home Alabama;108.0;6.0;394;Andy Tennant
20943;Comedy Romance;romantic comedy romance tv morning show relationship opposites attract;The Ugly Truth;96.0;6.4;972;Robert Luketic
9099;Comedy Family;gulf war u.s. army based on tv series military spoof;Sgt. Bilko;90.0;5.5;94;Jonathan Lynn
9488;Action Adventure Family;spy experiment island secret organization wretch;Spy Kids 2: The Island of Lost Dreams;100.0;5.3;521;Robert Rodriguez
193;Science_Fiction Action Adventure Thriller;based on tv series death exploding planet mountain cabin solar system;Star Trek: Generations;118.0;6.4;452;David Carson
44865;Action Drama History;martial arts kung fu biography kung fu master;一代宗師;130.0;6.3;273;Wong Kar-wai
55787;Drama Romance;clown elephant trainer veterinary;Water for Elephants;120.0;6.7;850;Francis Lawrence
257932;Adventure Family Fantasy Animation;;Dragon Nest: Warriors' Dawn;88.0;6.8;19;Yuefeng Song
10400;Drama;prison boxer boxing match boxing school biography;The Hurricane;146.0;7.2;396;Norman Jewison
1957;Drama Thriller;waitress wife husband relationship violent husband self-defense violence against women;Enough;114.0;6.2;264;Michael Apted
10833;Crime Comedy Romance;cons and scams;Heartbreakers;123.0;5.7;254;David Mirkin
256961;Action Comedy Family;shopping mall las vegas security guard;Paul Blart: Mall Cop 2;94.0;5.0;567;Andy Fickman
5852;Drama Romance Thriller;car crash police officer;Angel Eyes;102.0;5.6;88;Luis Mandoki
12312;Comedy;profession karate daughter bef\u00f6rderung ex-wife;Joe Somebody;99.0;5.5;40;John Pasquin
622;Horror Mystery Thriller;new york obsession passion for collection southern france mephisto;The Ninth Gate;133.0;6.3;756;Roman Polanski
11306;Drama Thriller;new york surgeon british suspense morgue;Extreme Measures;118.0;5.7;80;Michael Apted
12508;Music Drama Comedy;rock star success discontentedness and displeasedness heavy metal relationship problems;Rock Star;105.0;6.0;190;Stephen Herek
10534;Action Drama;sailing trip diary sailing survival coming of age;White Squall;129.0;6.3;86;Ridley Scott
1091;Horror Mystery Science_Fiction;ice space marine paranoia snow storm norwegian;The Thing;109.0;7.8;1588;John Carpenter
87421;Science_Fiction Action Thriller;dystopia revenge alien planet imax;Riddick;119.0;6.2;2035;David Twohy
10871;Action Adventure Mystery Thriller;loss of son serial killer train;Switchback;118.0;5.8;52;Jeb Stuart
13503;Action Western;underwear tiger racial segregation;Texas Rangers;110.0;5.4;19;Steve Miner
13600;Adventure Family Fantasy;underground world mayor adventure post-apocalyptic dystopia;City of Ember;90.0;6.2;605;Gil Kenan
68722;Drama;post traumatic stress  disorder sexual obsession postwar period drifter alcoholic;The Master;137.0;7.0;701;Paul Thomas Anderson
14324;Adventure Action Comedy Romance;;Virgin Territory;93.0;4.3;75;David Leland
14325;Drama;american football college biography sport syracuse university;The Express;130.0;7.1;71;Gary Fleder
299687;Adventure Science_Fiction;based on novel dystopia alien alien invasion human subjugation;The 5th Wave;112.0;5.6;1945;J Blakeson
312221;Drama;underdog sport spin off underground fighting motivational speaker;Creed;133.0;7.3;1915;Ryan Coogler
23168;Crime Drama Thriller;based on novel money laundering ambulance boston massachusetts;The Town;125.0;7.0;1468;Ben Affleck
4944;Comedy Drama;blackmail paranoia fitness-training plastic surgery autobiography;Burn After Reading;96.0;6.5;1222;Joel Coen
10488;Adventure Comedy Family Fantasy;fictional place exotic island shipwreck cruise volcano;Nim's Island;96.0;5.6;330;Jennifer Flackett
96721;Drama Action;world champion sport racing car formula 1 automobile racing;Rush;123.0;7.7;2277;Ron Howard
334;Drama;farewell regret parents kids relationship suicide attempt becoming an adult;Magnolia;188.0;7.5;825;Paul Thomas Anderson
23742;Action Comedy Crime;new york money laundering daughter police undercover cop;Cop Out;107.0;5.3;511;Kevin Smith
259694;Comedy Romance;new york based on novel one-night stand single;How to Be Single;110.0;5.9;1201;Christian Ditter
62837;Drama Family;dolphin boy trap summer tail;Dolphin Tale;113.0;6.7;163;Charles Martin Smith
8966;Adventure Fantasy Drama Romance;soulmates vampire forbidden love immortality trust;Twilight;122.0;5.8;3561;Catherine Hardwicke
8470;Drama Thriller Crime;father son relationship chicago heart attack kidnapping heart disease;John Q;116.0;7.0;594;Nick Cassavetes
11001;Action Comedy Crime;robbery diamant police operation police everyday life thief;Blue Streak;93.0;6.1;352;Les Mayfield
138832;Comedy Crime;mexico police gang drug smuggling drug;We're the Millers;110.0;6.8;2972;Rawson Marshall Thurber
16911;Action Fantasy Science_Fiction Thriller;based on novel brother sister relationship sword fight spaceship strugatsky;Obitaemyy Ostrov;115.0;5.3;23;Fyodor Bondarchuk
2163;Drama Action Thriller;california bank ransom car breakdown kidnapping;Breakdown;95.0;6.6;198;Jonathan Mostow
36670;Adventure Action Thriller;video game spy bahamas british stealing;Never Say Never Again;134.0;5.8;338;Irvin Kershner
23048;Science_Fiction Comedy Adventure;female nudity one-night stand time travel time machine incest overtones;Hot Tub Time Machine;101.0;6.0;894;Steve Pink
227735;Family Drama;dolphin aquarium swimming;Dolphin Tale 2;107.0;6.7;96;Charles Martin Smith
2155;Thriller;prison robbery role reversal extramarital affair;Reindeer Games;124.0;5.4;173;John Frankenheimer
8409;Action Drama;repayment arbitrary law cop loss of wife;A Man Apart;109.0;5.8;258;F. Gary Gray
222936;Drama Comedy Romance;love triangle hawaii satellite military duringcreditsstinger;Aloha;105.0;5.2;692;Cameron Crowe
31908;History Drama;assassin widow trial civil rights activist;Ghosts of Mississippi;130.0;6.2;40;Rob Reiner
10219;Drama Romance;journalist japanese wife fisherman war;Snow Falling on Cedars;127.0;6.3;32;Scott Hicks
48171;Drama Thriller Horror;vatican violinist hospital miscarriage exorcist;The Rite;114.0;5.8;556;Mikael H\u00e5fstr\u00f6m
782;Thriller Science_Fiction Mystery Romance;paraplegic suicide attempt cheating dna spaceman;Gattaca;106.0;7.5;1808;Andrew Niccol
75531;Drama Comedy;autism based on article;Isn't She Great;95.0;4.6;14;Andrew Bergman
11802;Animation Family;space marine chimp space aftercreditsstinger;Space Chimps;81.0;5.2;99;Kirk De Micco
9776;Comedy;usa black people usa president presidential election election campaign;Head of State;95.0;5.3;71;Chris Rock
18785;Comedy;underwear tiger stag night hangover lost weekend;The Hangover;100.0;7.2;6173;Todd Phillips
365222;Action Drama History;biography;葉問3;105.0;6.5;379;Wilson Yip
817;Adventure Comedy Crime Science_Fiction;saving the world moon submarine clone spy;Austin Powers: The Spy Who Shagged Me;95.0;6.2;1011;Jay Roach
268;Fantasy Action;double life dc comics dual identity chemical crime fighter;Batman;126.0;7.0;2096;Tim Burton
45054;Drama;spanish civil war priest independent film catholic dying;There Be Dragons;112.0;5.9;27;Roland Joff\u00e9
943;Adventure Action Comedy Thriller Crime;rookie cop dog biscuit shooting practice sitting on a toilet judo throw;Lethal Weapon 3;118.0;6.4;811;Richard Donner
22881;Drama;american football adoption education private school sport;The Blind Side;129.0;7.2;1597;John Lee Hancock
10054;Action Comedy Family Adventure;double life parents kids relationship brother sister relationship loss of parents secret agent;Spy Kids;88.0;5.5;867;Robert Rodriguez
51540;Comedy Crime;conspiracy of murder bad boss employee death of father stakeout;Horrible Bosses;98.0;6.5;2277;Seth Gordon
44264;Drama Adventure Western;loss of father father murder texas ranger alcoholism betrayal;True Grit;110.0;7.2;1668;Joel Coen
350;Comedy Drama Romance;paris journalist journalism world of fasion fashion journal;The Devil Wears Prada;109.0;7.0;3088;David Frankel
152;Science_Fiction Adventure Mystery;artificial intelligence uss enterprise starfleet san francisco self sacrifice;Star Trek: The Motion Picture;132.0;6.2;530;Robert Wise
109431;Comedy Crime;;Identity Thief;111.0;5.6;1645;Seth Gordon
1598;Crime Thriller;prison child abuse rape small town daughter;Cape Fear;128.0;7.0;675;Martin Scorsese
8065;Drama Crime;gambling card game professor harvard university cohabitant;21;123.0;6.5;1375;Robert Luketic
271718;Comedy;alcohol one-night stand;Trainwreck;125.0;5.9;1181;Judd Apatow
11638;Comedy Romance;black people jealousy parents-in-law trouble fianc\u00e9e;Guess Who;105.0;5.5;225;Kevin Rodney Sullivan
409;Drama Romance War;cairo egypt identity amnesia world war ii;The English Patient;162.0;7.0;542;Anthony Minghella
2118;Crime Drama Mystery Thriller;corruption detective shotgun morgue f word;L.A. Confidential;138.0;7.7;1310;Curtis Hanson
11459;Adventure Comedy Family;hero loyalty mockery supernatural powers high school;Sky High;100.0;5.8;550;Mike Mitchell
10806;Comedy Romance;gay homophobia coming out lgbt;In & Out;90.0;6.3;177;Frank Oz
9348;Science_Fiction Horror Action;telepathy dna paranoia genetics instinct;Species;108.0;5.5;453;Roger Donaldson
377;Horror;child murderer sleep nightmare supernatural slasher;A Nightmare on Elm Street;91.0;7.2;1180;Wes Craven
8843;Horror Science_Fiction Thriller;drowning therapist virtual reality serial killer psychopathy;The Cell;107.0;6.0;436;Tarsem Singh
9313;Action Adventure Drama;france swordplay mask musketeer;The Man in the Iron Mask;132.0;6.3;1018;Randall Wallace
39486;Drama;horse race horseback riding biography;Secretariat;123.0;6.8;103;Randall Wallace
1273;Adventure Animation Comedy Family;new york brother brother relationship journalist martial arts crime fighter;TMNT;90.0;6.0;345;Kevin Munroe
13920;Drama;biography friendship sport;Radio;109.0;6.8;141;Mike Tollin
50544;Romance Comedy;funeral friends hospital aftercreditsstinger duringcreditsstinger;Friends with Benefits;109.0;6.5;2237;Will Gluck
325133;Comedy;alcohol college party sequel sorority;Neighbors 2: Sorority Rising;91.0;5.6;1462;Nicholas Stoller
140823;Comedy Drama History;biography animation writer moviemaking;Saving Mr. Banks;125.0;7.3;1226;John Lee Hancock
1883;Drama History;islam new york prison assassination ku klux klan;Malcolm X;202.0;7.2;370;Spike Lee
89492;Comedy;wife husband relationship children family relationships duringcreditsstinger;This Is 40;134.0;5.6;896;Judd Apatow
12437;Fantasy Action Adventure Science_Fiction Thriller;prison underworld slavery castle vampire;Underworld: Rise of the Lycans;92.0;6.2;1428;Patrick Tatopoulos
